1779072959	0	1779072976
1779072976	1	1779072981
1779072981	2	1779072982
1779072982	3	1779072985
1779072985	4	1779072991
1779072991	5	1779072992
1779072992	6	1779073006
1779073006	7	1779073012
1779073012	9	1779073016
1779073016	10	1779073027
1779073027	11	1779073028
1779073028	12	1779073029
1779073029	13	1779073042
1779073042	14	1779073047
1779073047	15	1779073049
1779073049	16	1779073052
1779073052	17	1779073054
1779073054	18	1779073058
1779073058	19	1779073069
1779073069	20	1779073070
1779073070	21	1779073083
1779073083	22	1779073086
1779073086	24	1779073088
1779073088	25	1779073099
1779073099	26	1779073107
1779073107	27	1779073112
1779073112	28	1779073119
1779073119	29	1779073120
1779073120	30	1779073124
1779073124	31	1779073125
1779073125	32	1779073139
1779073139	33	1779073144
1779073144	34	1779073145
1779073145	36	1779073156
1779073156	37	1779073159
1779073159	38	1779073167
1779073167	39	1779073169
1779073169	40	1779073178
1779073178	41	1779073187
1779073187	43	1779073195
1779073195	45	1779073197
1779073197	46	1779073200
1779073200	47	1779073209
1779073209	48	1779073218
1779073218	49	1779073231
1779073231	50	1779075010
1779075010	48	1779075015
1779075015	46	1779075020
1779075020	45	1779075025
1779075025	44	1779075030
1779075030	43	1779075035
1779075035	41	1779075039
1779075039	40	1779075040
1779075040	38	1779075041
1779075041	37	1779075050
1779075050	36	1779075054
1779075054	35	1779075055
1779075055	34	1779075060
1779075060	32	1779075069
1779075069	31	1779075072
1779075072	30	1779075074
1779075074	29	1779075075
1779075075	28	1779075079
1779075079	27	1779075080
1779075080	26	1779075082
1779075082	25	1779075086
1779075086	24	1779075087
1779075087	23	1779075090
1779075090	21	1779075094
1779075094	20	1779075095
1779075095	19	1779075100
1779075100	17	1779075104
1779075104	16	1779075105
1779075105	14	1779075106
1779075106	12	1779075110
1779075110	11	1779075115
1779075115	9	1779075120
1779075120	8	1779075125
1779075125	7	1779075127
1779075127	6	1779075131
1779075131	4	1779075133
1779075133	3	1779075143
1779075143	2	1779075155
1779075155	1	1779075156
