18 1778520484 0.800000 4 0.800000 0.800000 0.800000
18 1778520489 0.200000 1 0.200000 0.200000 0.200000
18 1778520569 0.200000 1 0.200000 0.200000 0.200000
27 1778520569 0.200000 1 0.200000 0.200000 0.200000
18 1778520579 0.400000 2 0.400000 0.400000 0.400000
27 1778520579 0.400000 2 0.400000 0.400000 0.400000
18 1778520584 0.400000 2 0.400000 0.400000 0.400000
27 1778520584 0.400000 2 0.400000 0.400000 0.400000
18 1778520654 0.400000 2 0.400000 0.400000 0.400000
27 1778520654 0.400000 2 0.400000 0.400000 0.400000
18 1778520659 0.200000 1 0.200000 0.200000 0.200000
27 1778520659 0.200000 1 0.200000 0.200000 0.200000
18 1778520664 0.400000 2 0.400000 0.400000 0.400000
27 1778520664 0.400000 2 0.400000 0.400000 0.400000
18 1778520729 0.200000 1 0.200000 0.200000 0.200000
27 1778520729 0.200000 1 0.200000 0.200000 0.200000
18 1778520739 0.200000 1 0.200000 0.200000 0.200000
27 1778520739 0.200000 1 0.200000 0.200000 0.200000
18 1778520744 0.400000 2 0.400000 0.400000 0.400000
27 1778520744 0.400000 2 0.400000 0.400000 0.400000
18 1778520754 0.200000 1 0.200000 0.200000 0.200000
27 1778520754 0.200000 1 0.200000 0.200000 0.200000
27 1778520784 0.600000 3 0.600000 0.600000 0.600000
27 1778520789 1.000000 2 1.000000 1.000000 1.000000
