1781152069	0	1781152087
1781152087	1	1781152089
1781152089	2	1781152091
1781152091	3	1781152102
1781152102	5	1781152110
1781152110	6	1781152118
1781152118	7	1781152122
1781152122	8	1781152124
1781152124	10	1781152135
1781152135	11	1781152143
1781152143	12	1781152146
1781152146	13	1781152152
1781152152	14	1781152153
1781152153	15	1781152158
1781152158	16	1781152162
1781152162	17	1781152166
1781152166	18	1781152171
1781152171	19	1781152181
1781152181	21	1781152191
1781152191	22	1781152193
1781152193	23	1781152198
1781152198	24	1781152200
1781152200	25	1781152207
1781152207	26	1781152218
1781152218	27	1781152228
1781152228	28	1781152230
1781152230	30	1781152231
1781152231	31	1781152235
1781152235	32	1781152248
1781152248	33	1781152252
1781152252	34	1781152253
1781152253	35	1781152258
1781152258	36	1781152266
1781152266	37	1781152269
1781152269	38	1781152271
1781152271	39	1781152276
1781152276	40	1781152288
1781152288	41	1781152291
1781152291	42	1781152293
1781152293	43	1781152304
1781152304	45	1781152305
1781152305	46	1781152308
1781152308	47	1781152324
1781152324	48	1781152329
1781152329	49	1781152339
1781152339	50	1781154119
1781154119	49	1781154124
1781154124	47	1781154126
1781154126	46	1781154129
1781154129	45	1781154134
1781154134	44	1781154139
1781154139	42	1781154144
1781154144	40	1781154148
1781154148	39	1781154149
1781154149	37	1781154154
1781154154	36	1781154155
1781154155	35	1781154159
1781154159	34	1781154164
1781154164	32	1781154165
1781154165	31	1781154170
1781154170	29	1781154175
1781154175	28	1781154185
1781154185	26	1781154187
1781154187	25	1781154190
1781154190	24	1781154193
1781154193	23	1781154197
1781154197	22	1781154198
1781154198	21	1781154199
1781154199	20	1781154200
1781154200	18	1781154205
1781154205	16	1781154213
1781154213	15	1781154215
1781154215	13	1781154216
1781154216	11	1781154220
1781154220	10	1781154225
1781154225	9	1781154228
1781154228	8	1781154230
1781154230	6	1781154235
1781154235	4	1781154244
1781154244	3	1781154253
1781154253	2	1781154254
1781154254	1	1781154266
