"Absolute Time","Run"
"02:55:59","10"
"02:57:03","24"
"02:58:07","36"
"02:59:11","48"
"03:00:15","50"
"03:30:07","31"
"03:31:11","3"
"03:32:15","0"
"03:33:19","0"
