11 1778709444 45.377498 1 45.377498 45.377498 45.377498
12 1778709444 73.143597 1 73.143597 73.143597 73.143597
13 1778709444 49.063959 1 49.063959 49.063959 49.063959
11 1778709449 67.170135 1 67.170135 67.170135 67.170135
12 1778709449 73.601311 1 73.601311 73.601311 73.601311
13 1778709449 55.166849 1 55.166849 55.166849 55.166849
11 1778709454 44.693695 1 44.693695 44.693695 44.693695
12 1778709454 73.804839 1 73.804839 73.804839 73.804839
13 1778709454 100.000000 1 100.000000 100.000000 100.000000
11 1778709459 15.622934 1 15.622934 15.622934 15.622934
12 1778709459 73.808592 1 73.808592 73.808592 73.808592
13 1778709459 22.078716 1 22.078716 22.078716 22.078716
11 1778709464 21.814807 1 21.814807 21.814807 21.814807
12 1778709464 73.882607 1 73.882607 73.882607 73.882607
13 1778709464 27.141034 1 27.141034 27.141034 27.141034
11 1778709469 9.279565 1 9.279565 9.279565 9.279565
12 1778709469 73.894789 1 73.894789 73.894789 73.894789
13 1778709469 9.914436 1 9.914436 9.914436 9.914436
11 1778709474 9.352510 1 9.352510 9.352510 9.352510
12 1778709474 73.928452 1 73.928452 73.928452 73.928452
13 1778709474 8.033022 1 8.033022 8.033022 8.033022
11 1778709479 10.428826 1 10.428826 10.428826 10.428826
12 1778709479 73.946561 1 73.946561 73.946561 73.946561
13 1778709479 10.564360 1 10.564360 10.564360 10.564360
11 1778709484 11.350850 1 11.350850 11.350850 11.350850
12 1778709484 73.986968 1 73.986968 73.986968 73.986968
13 1778709484 6.407038 1 6.407038 6.407038 6.407038
11 1778709489 9.897732 1 9.897732 9.897732 9.897732
12 1778709489 74.006573 1 74.006573 74.006573 74.006573
13 1778709489 7.135694 1 7.135694 7.135694 7.135694
11 1778709494 8.840885 1 8.840885 8.840885 8.840885
12 1778709494 73.999367 1 73.999367 73.999367 73.999367
13 1778709494 4.579785 1 4.579785 4.579785 4.579785
11 1778709499 26.226225 1 26.226225 26.226225 26.226225
12 1778709499 74.466462 1 74.466462 74.466462 74.466462
13 1778709499 100.000000 1 100.000000 100.000000 100.000000
11 1778709504 43.026282 1 43.026282 43.026282 43.026282
12 1778709504 74.463580 1 74.463580 74.463580 74.463580
13 1778709504 100.000000 1 100.000000 100.000000 100.000000
11 1778709509 6.991610 1 6.991610 6.991610 6.991610
12 1778709509 74.442017 1 74.442017 74.442017 74.442017
13 1778709509 6.889786 1 6.889786 6.889786 6.889786
